date,label
2018-07-06,1.3105
2018-07-07,1.3102333333333334
2018-07-08,1.3099666666666667
2018-07-09,1.3097
2018-07-10,1.3125
2018-07-11,1.3151
2018-07-12,1.3166
2018-07-13,1.3171
2018-07-14,1.3159666666666667
2018-07-15,1.3148333333333333
2018-07-16,1.3137
2018-07-17,1.3187
2018-07-18,1.3204
2018-07-19,1.3255
2018-07-20,1.3142
2018-07-21,1.3146666666666669
2018-07-22,1.3151333333333337
2018-07-23,1.3156
2018-07-24,1.3157
2018-07-25,1.3088
2018-07-26,1.3065
2018-07-27,1.3062
2018-07-28,1.3048333333333333
2018-07-29,1.3034666666666668
2018-07-30,1.3021
2018-07-31,1.3017
2018-08-01,1.3002
2018-08-02,1.3014
2018-08-03,1.2983
2018-08-04,1.2993
2018-08-05,1.3003
2018-08-06,1.3013
2018-08-07,1.3023
2018-08-08,1.3052
2018-08-09,1.304
2018-08-10,1.3113
2018-08-11,1.3120666666666667
2018-08-12,1.3128333333333333
2018-08-13,1.3136
2018-08-14,1.3087
2018-08-15,1.3138
2018-08-16,1.3152
2018-08-17,1.3081
2018-08-18,1.3075666666666668
2018-08-19,1.3070333333333333
2018-08-20,1.3065
2018-08-21,1.3036
2018-08-22,1.3016
2018-08-23,1.3063
2018-08-24,1.3036
2018-08-25,1.3019333333333334
2018-08-26,1.300266666666667
2018-08-27,1.2986
2018-08-28,1.2917
2018-08-29,1.2931
2018-08-30,1.298
2018-08-31,1.3055
2018-09-01,1.308675
2018-09-02,1.3118500000000002
2018-09-03,1.315025
2018-09-04,1.3182
2018-09-05,1.3185
2018-09-06,1.3188
2018-09-07,1.3164
2018-09-08,1.316366666666667
2018-09-09,1.3163333333333334
2018-09-10,1.3163
2018-09-11,1.3141
2018-09-12,1.3014
2018-09-13,1.2997
2018-09-14,1.3033
2018-09-15,1.3028333333333333
2018-09-16,1.302366666666667
2018-09-17,1.3019
2018-09-18,1.2992
2018-09-19,1.2947
2018-09-20,1.2905
2018-09-21,1.2916
2018-09-22,1.2922333333333331
2018-09-23,1.2928666666666668
2018-09-24,1.2935
2018-09-25,1.2948
2018-09-26,1.2975
2018-09-27,1.3045
2018-09-28,1.2945
2018-09-29,1.2897666666666667
2018-09-30,1.2850333333333332
2018-10-01,1.2803
2018-10-02,1.2817
2018-10-03,1.2832
2018-10-04,1.29
2018-10-05,1.2936
2018-10-06,1.2943250000000002
2018-10-07,1.29505
2018-10-08,1.295775
2018-10-09,1.2965
2018-10-10,1.2992
2018-10-11,1.3038
2018-10-12,1.3031
2018-10-13,1.3018333333333332
2018-10-14,1.3005666666666666
2018-10-15,1.2993
2018-10-16,1.2938
2018-10-17,1.2994
2018-10-18,1.3057
2018-10-19,1.3104
2018-10-20,1.3104333333333331
2018-10-21,1.310466666666667
2018-10-22,1.3105
2018-10-23,1.3098
2018-10-24,1.3029
2018-10-25,1.3076
2018-10-26,1.3108
2018-10-27,1.3111666666666666
2018-10-28,1.3115333333333334
2018-10-29,1.3119
2018-10-30,1.3133
2018-10-31,1.3142
2018-11-01,1.3088
2018-11-02,1.3105
2018-11-03,1.3102
2018-11-04,1.3099
2018-11-05,1.3096
2018-11-06,1.313
2018-11-07,1.3096
2018-11-08,1.3114
2018-11-09,1.3206
2018-11-10,1.321475
2018-11-11,1.32235
2018-11-12,1.323225
2018-11-13,1.3241
2018-11-14,1.3235
2018-11-15,1.3202
2018-11-16,1.3154
2018-11-17,1.3163333333333334
2018-11-18,1.3172666666666666
2018-11-19,1.3182
2018-11-20,1.3259
2018-11-21,1.327
2018-11-22,1.3205
2018-11-23,1.3228
2018-11-24,1.3228666666666666
2018-11-25,1.3229333333333333
2018-11-26,1.323
2018-11-27,1.3289
2018-11-28,1.3302
2018-11-29,1.3275
2018-11-30,1.3301
2018-12-01,1.3264333333333334
2018-12-02,1.3227666666666666
2018-12-03,1.3191
2018-12-04,1.3219
2018-12-05,1.3353
2018-12-06,1.3404
2018-12-07,1.3299
2018-12-08,1.332566666666667
2018-12-09,1.3352333333333335
2018-12-10,1.3379
2018-12-11,1.3402
2018-12-12,1.3346
2018-12-13,1.3359
2018-12-14,1.3379
2018-12-15,1.338566666666667
2018-12-16,1.3392333333333335
2018-12-17,1.3399
2018-12-18,1.3454
2018-12-19,1.345
2018-12-20,1.3495
2018-12-21,1.3566
2018-12-22,1.3573666666666666
2018-12-23,1.3581333333333334
2018-12-24,1.3589
2018-12-25,1.3606333333333334
2018-12-26,1.3623666666666667
2018-12-27,1.3641
2018-12-28,1.3638
2018-12-29,1.3639333333333332
2018-12-30,1.3640666666666668
2018-12-31,1.3642
2019-01-01,1.3621
2019-01-02,1.36
2019-01-03,1.3501
2019-01-04,1.341
2019-01-05,1.3377666666666663
2019-01-06,1.3345333333333331
2019-01-07,1.3313
2019-01-08,1.3293
2019-01-09,1.3221
2019-01-10,1.3234
2019-01-11,1.3259
2019-01-12,1.3262333333333334
2019-01-13,1.326566666666667
2019-01-14,1.3269
2019-01-15,1.3266
2019-01-16,1.3248
2019-01-17,1.3294
2019-01-18,1.326
2019-01-19,1.3272333333333337
2019-01-20,1.328466666666667
2019-01-21,1.3297
2019-01-22,1.334
2019-01-23,1.3348
2019-01-24,1.3351
2019-01-25,1.3256
2019-01-26,1.3257333333333332
2019-01-27,1.3258666666666667
2019-01-28,1.326
2019-01-29,1.3266
2019-01-30,1.3192
2019-01-31,1.3144
2019-02-01,1.3095
2019-02-02,1.3105666666666669
2019-02-03,1.3116333333333334
2019-02-04,1.3127
2019-02-05,1.3134
2019-02-06,1.319
2019-02-07,1.3285
2019-02-08,1.327
2019-02-09,1.3278
2019-02-10,1.3286
2019-02-11,1.3294
2019-02-12,1.3248
2019-02-13,1.324
2019-02-14,1.3298
2019-02-15,1.3266
2019-02-16,1.3259
2019-02-17,1.3252000000000002
2019-02-18,1.3245
2019-02-19,1.3238
2019-02-20,1.3169
2019-02-21,1.3196
2019-02-22,1.3173
2019-02-23,1.3173333333333332
2019-02-24,1.3173666666666666
2019-02-25,1.3174
2019-02-26,1.3195
2019-02-27,1.3145
2019-02-28,1.3169
2019-03-01,1.326
2019-03-02,1.3279
2019-03-03,1.3298
2019-03-04,1.3317
2019-03-05,1.3345
2019-03-06,1.342
2019-03-07,1.3438
2019-03-08,1.3422
2019-03-09,1.3419333333333334
2019-03-10,1.3416666666666666
2019-03-11,1.3414
2019-03-12,1.3378
2019-03-13,1.3326
2019-03-14,1.3327
2019-03-15,1.3342
2019-03-16,1.3343
2019-03-17,1.3344
2019-03-18,1.3345
2019-03-19,1.3292
2019-03-20,1.3317
2019-03-21,1.3366
2019-03-22,1.3411
2019-03-23,1.3414
2019-03-24,1.3417
2019-03-25,1.342
2019-03-26,1.3386
2019-03-27,1.3414
2019-03-28,1.3429
2019-03-29,1.3363
2019-03-30,1.3354333333333337
2019-03-31,1.334566666666667
2019-04-01,1.3337
2019-04-02,1.3344
2019-04-03,1.3324
2019-04-04,1.3357
2019-04-05,1.3386
2019-04-06,1.336566666666667
2019-04-07,1.3345333333333331
2019-04-08,1.3325
2019-04-09,1.3316
2019-04-10,1.3326
2019-04-11,1.3378
2019-04-12,1.3329
2019-04-13,1.3337333333333332
2019-04-14,1.334566666666667
2019-04-15,1.3354
2019-04-16,1.3361
2019-04-17,1.3332
2019-04-18,1.3382
2019-04-19,1.337475
2019-04-20,1.33675
2019-04-21,1.336025
2019-04-22,1.3353
2019-04-23,1.3421
2019-04-24,1.3475
2019-04-25,1.3493
2019-04-26,1.346
2019-04-27,1.3458666666666668
2019-04-28,1.3457333333333332
2019-04-29,1.3456
2019-04-30,1.3423
2019-05-01,1.3416
2019-05-02,1.3462
2019-05-03,1.3429
2019-05-04,1.3438
2019-05-05,1.3447
2019-05-06,1.3456
2019-05-07,1.3476
2019-05-08,1.3466
2019-05-09,1.3483
2019-05-10,1.3418
2019-05-11,1.3431
2019-05-12,1.3444
2019-05-13,1.3457
2019-05-14,1.3469
2019-05-15,1.3451
2019-05-16,1.3439
2019-05-17,1.3468
2019-05-18,1.345425
2019-05-19,1.34405
2019-05-20,1.3426749999999998
2019-05-21,1.3413
2019-05-22,1.341
2019-05-23,1.3478
2019-05-24,1.3447
2019-05-25,1.3445333333333334
2019-05-26,1.3443666666666667
2019-05-27,1.3442
2019-05-28,1.3477
2019-05-29,1.3514
2019-05-30,1.3501
2019-05-31,1.3527
2019-06-01,1.3508
2019-06-02,1.3489
2019-06-03,1.347
2019-06-04,1.3414
2019-06-05,1.3401
2019-06-06,1.3378
2019-06-07,1.3283
2019-06-08,1.3277666666666668
2019-06-09,1.3272333333333333
2019-06-10,1.3267
2019-06-11,1.3278
2019-06-12,1.3303
2019-06-13,1.3324
2019-06-14,1.3385
2019-06-15,1.3392333333333333
2019-06-16,1.3399666666666668
2019-06-17,1.3407
2019-06-18,1.3394
2019-06-19,1.3343
2019-06-20,1.3191
2019-06-21,1.3212
2019-06-22,1.3206
2019-06-23,1.3199999999999998
2019-06-24,1.3194
2019-06-25,1.3174
2019-06-26,1.313
2019-06-27,1.3111
2019-06-28,1.3087
2019-06-29,1.309375
2019-06-30,1.31005
2019-07-01,1.310725
2019-07-02,1.3114
2019-07-03,1.3073
2019-07-04,1.3059
2019-07-05,1.3099
2019-07-06,1.3093
2019-07-07,1.3087
2019-07-08,1.3081
2019-07-09,1.3127
2019-07-10,1.3092
2019-07-11,1.3071
2019-07-12,1.3038
2019-07-13,1.3038333333333334
2019-07-14,1.3038666666666667
2019-07-15,1.3039
2019-07-16,1.3052
2019-07-17,1.3053
2019-07-18,1.3069
2019-07-19,1.3071
2019-07-20,1.3081666666666667
2019-07-21,1.3092333333333332
2019-07-22,1.3103
2019-07-23,1.3142
2019-07-24,1.3137
