date,target,prev_decision,GDP_diff_prev,PMI_value,Employ_diff_prev,Rsales_diff_year,Unemp_diff_prev,Inertia_diff,Hsales_diff_year,Balanced_diff
2013-05-01,0,0,0.8677895476911597,51.5,208.5,1.8475580427441363,0.13333333333333344,0.03663343104196715,21.861054052891003,-0.08557792475977832
2013-06-19,0,0,0.8677895476911597,50.0,206.5,2.086368567166656,0.06666666666666672,-0.007812805976287801,22.25663097498963,-0.12747398553498884
2013-07-31,0,0,0.1393852197657185,52.5,201.5,2.8255249818526895,0.0,-0.0023329096409072762,23.169483195981385,-0.0894487349398102
2013-09-18,0,0,0.1393852197657185,56.3,177.0,2.809717323282558,0.09999999999999994,0.008616532595281228,19.264966020759015,-0.10394495629355627
2013-10-16,0,0,0.1393852197657185,56.0,214.5,2.0958062479580426,0.09999999999999994,0.001969579686084329,17.434181673527295,-0.044932469377486434
2013-10-30,0,0,0.1393852197657185,56.0,214.5,2.0958062479580426,0.09999999999999994,0.0009983995091383234,17.434181673527295,-0.01801739461040816
2013-12-18,1,0,0.791653410795001,57.0,244.5,2.2625554038706346,0.09999999999999994,-0.020575168283640942,17.85039185772223,-0.030992717819856103
2014-01-29,0,1,0.791653410795001,56.5,166.5,1.9803801693218575,0.16666666666666666,-0.02072402477092216,17.143100658071095,-0.02243190220420696
2014-03-04,0,0,0.7111710015635665,54.3,170.5,0.4202022244895181,0.06666666666666672,-0.021285384071096702,11.978234816781203,0.05976779554994502
2014-03-19,0,0,0.7111710015635665,54.3,170.5,0.4202022244895181,0.06666666666666672,-0.007027421816554552,11.978234816781203,0.021217450959485795
2014-04-30,0,0,-0.3501097365126946,54.4,210.0,1.4320520515181676,0.0,-0.01045385170695251,9.127608767002611,0.04984219698855749
2014-06-18,0,0,-0.3501097365126946,55.6,271.5,2.9202577926190942,0.13333333333333344,0.04956683334376668,5.503034172688703,-0.013417753984907271
2014-07-30,0,0,-0.3501097365126946,55.7,272.0,2.698022344456245,0.20000000000000018,0.028528966678387037,2.0347520607895695,-0.001361405040358088
2014-09-17,0,0,1.2841289071790578,58.1,210.0,2.8721047525339873,0.06666666666666672,-0.06522108815735417,4.006337319949248,0.10870181359559031
2014-10-29,1,0,1.2841289071790578,56.1,248.5,3.3928400626828985,0.06666666666666643,-0.05326338606814644,5.002169444813631,0.08984802607179421
